Title,Mapped by,Level,Status,Scores,Total Scores,Star Difficulty,Note Count,BPM,PP,Key,Bombs,Walls,Note jump speed,Notes per second,Lights,ID
Renard - Timelordz by Qwasyx,Qwasyx,Expert+,Ranked,"3,449","8,009",1.23,197,180,55.90,!bsr 80a7,0,4,0,21,3.9,3420D4808B47EB46344710F866557A55A48AE821
Renard - Timelordz by Qwasyx,Qwasyx,Expert,Ranked,"1,996","8,009",0.99,109,180,45.66,!bsr 80a7,4,6,19,2.973,2710.0,3420D4808B47EB46344710F866557A55A48AE821
Renard - Timelordz by Qwasyx,Qwasyx,Hard,Ranked,"1,363","8,009",0.77,71,180,35.51,!bsr 80a7,4,10,17,1.936,2710.0,3420D4808B47EB46344710F866557A55A48AE821
Renard - Timelordz by Qwasyx,Qwasyx,Normal,Ranked,"1,201","8,009",0.49,63,180,22.79,!bsr 80a7,4,10,14,1.718,2710.0,3420D4808B47EB46344710F866557A55A48AE821
Jack Stauber - Cupid by shrado,shrado,Easy,Ranked,"1,137","9,173",0.29,42,166,13.49,!bsr 81b4,0,39,13,1.449,356,FCB234ACF54027FBF4678DDCD4764E3AC975A6F2
Jack Stauber - Cupid by shrado,shrado,Normal,Ranked,"1,066","9,173",0.4,66,165,18.46,!bsr 81b4,0,39,15,2.278,356,FCB234ACF54027FBF4678DDCD4764E3AC975A6F2
Jack Stauber - Cupid by shrado,shrado,Hard,Ranked,"1,487","9,173",0.59,99,165,27.27,!bsr 81b4,0,39,17,3.416,356,FCB234ACF54027FBF4678DDCD4764E3AC975A6F2
Jack Stauber - Cupid by shrado,shrado,Expert,Ranked,"1,830","9,173",0.87,118,166,40.17,!bsr 81b4,0,38,18,4.072,355,FCB234ACF54027FBF4678DDCD4764E3AC975A6F2
Jack Stauber - Cupid by shrado,shrado,Expert+,Ranked,"3,653","9,173",0.93,180,166,42.35,!bsr 81b4,0,38,20,6.207,355,FCB234ACF54027FBF4678DDCD4764E3AC975A6F2
t+pazolite - cheatreal by shrado & Schwank,shrado & Schwank,Expert+,Ranked,"2,122","2,292",8.72,"3,178",200,395.00,!bsr 8529,88,56,23,10.949,3060.0,EE633AFFC8484962A32E9D215DE125804CA6427B
Masayoshi Minoshima - Bad Apple!! by Light Ai & DE125,Light Ai & DE125,Expert+,Ranked,"4,956","4,956",8.09,"2,743",160,363.45,!bsr 8017,4,8,22,9.599,2860.0,96FA0D5AD17DB9D2D59EB82734440C3A7AC24D25
Khenab - Reach The Core by Khenab,Khenab,Expert,Ranked,"3,065","8,963",3.45,828,160,159.10,!bsr 7b61,0,88,16,5.32,2000.0,A621C1612B7201E67813839CE636E50D276B4816
Khenab - Reach The Core by Khenab,Khenab,Expert+,Ranked,"4,370","8,963",7.42,"1,201",160,337.20,!bsr 7b61,8,82,20,7.708,2000.0,A621C1612B7201E67813839CE636E50D276B4816
Khenab - Reach The Core by Khenab,Khenab,Hard,Ranked,"1,528","8,963",2.42,677,160,112.38,!bsr 7b61,0,86,12,4.35,2000.0,A621C1612B7201E67813839CE636E50D276B4816
Umziky - Bass Music by Skeelie,Skeelie,Normal,Ranked,"1,349","8,579",1.58,441,130,73.24,!bsr 7bc4,0,0,0,12,0,9153539CD984F3A0D06C2ABD5A90BAEF21DA9EF3
Umziky - Bass Music by Skeelie,Skeelie,Hard,Ranked,"2,115","8,579",2.32,612,130,107.26,!bsr 7bc4,0,0,15,4.144,13800.0,9153539CD984F3A0D06C2ABD5A90BAEF21DA9EF3
Umziky - Bass Music by Skeelie,Skeelie,Expert,Ranked,"2,879","8,579",3.82,795,130,175.37,!bsr 7bc4,0,0,18,5.383,13800.0,9153539CD984F3A0D06C2ABD5A90BAEF21DA9EF3
Umziky - Bass Music by Skeelie,Skeelie,Expert+,Ranked,"2,236","8,579",5.27,"1,143",130,239.77,!bsr 7bc4,0,0,22,7.739,13800.0,9153539CD984F3A0D06C2ABD5A90BAEF21DA9EF3
Turbo - PADORU / PADORU by simplymarvellous & TheRealZeroz,simplymarvellous & TheRealZeroz,Hard,Ranked,"2,148","7,029",0.59,121,190,27.19,,,,,,,93E368A2AEB13864B03693420897B27659465CFD
Turbo - PADORU / PADORU by simplymarvellous & TheRealZeroz,simplymarvellous & TheRealZeroz,Expert,Ranked,"2,576","7,029",1.24,186,190,57.39,,,,,,,93E368A2AEB13864B03693420897B27659465CFD
Turbo - PADORU / PADORU by simplymarvellous & TheRealZeroz,simplymarvellous & TheRealZeroz,Expert+,Ranked,"2,305","7,029",2.02,291,190,91.60,,,,,,,93E368A2AEB13864B03693420897B27659465CFD
Seiryu - AO-Infinity by Various Mappers,Various Mappers,Expert+,Ranked,"4,250","13,519",9.01,"1,675",191,407.59,,,,,,,F75CD07DF7B41375B7B81EED95BF26F672A987DB
Seiryu - AO-Infinity by Various Mappers,Various Mappers,Expert,Ranked,"6,190","13,519",8.3,"1,657",191,377.62,,,,,,,F75CD07DF7B41375B7B81EED95BF26F672A987DB
Seiryu - AO-Infinity by Various Mappers,Various Mappers,Hard,Ranked,"2,654","13,519",8.66,"1,670",191,390.97,,,,,,,F75CD07DF7B41375B7B81EED95BF26F672A987DB
The Quick Brown Fox - Brain Specialist by Tseska & ExUnReal,Tseska & ExUnReal,Hard,Ranked,"4,102","9,814",2.62,640,180,121.10,!bsr 7c2c,0,19,16,4.539,4370.0,6188B01AB9C804653CF9537E7CDC54C5149A8795
The Quick Brown Fox - Brain Specialist by Tseska & ExUnReal,Tseska & ExUnReal,Expert,Ranked,"3,647","9,814",6.89,"1,037",180,315.00,!bsr 7c2c,24,14,22,7.355,4370.0,6188B01AB9C804653CF9537E7CDC54C5149A8795
The Quick Brown Fox - Brain Specialist by Tseska & ExUnReal,Tseska & ExUnReal,Expert+,Ranked,"2,065","9,814",8.56,"1,404",180,386.07,!bsr 7c2c,24,15,23,9.957,4370.0,6188B01AB9C804653CF9537E7CDC54C5149A8795
Chroma - Nijiiro no Hana by shrado,shrado,Hard,Ranked,"2,910","2,910",1.24,344,152,57.67,!bsr 7bc7,0,0,14,1.613,520,3D7FB0986F9E748B4726F0666A03743670842764
"Imperial Circus Dead Decadence - Jashin no Konrei, Gi Wa Ai to Shiru. by Scrappy",Scrappy,Expert+,Ranked,519,519,10.22,"3,565",240,458.37,!bsr 7bb1,0,4,24,12.038,3850.0,AAF0F0DC98C80F62F745F47FA82FFD37E4BD1044
Laur - L'Ultima Cena by Awagi,Awagi,Expert+,Ranked,"3,804","11,649",6.87,941,175,311.67,!bsr 8aa2,0,16,18,6.535,8010.0,40097F7ED852D6886F6EBCFEEFE42AC2F1AF0958
Laur - L'Ultima Cena by Awagi,Awagi,Hard,Ranked,"2,311","11,649",2.26,531,175,104.34,!bsr 8aa2,0,11,14,3.688,8010.0,40097F7ED852D6886F6EBCFEEFE42AC2F1AF0958
Laur - L'Ultima Cena by Awagi,Awagi,Expert,Ranked,"3,585","11,649",3.25,687,175,149.74,!bsr 8aa2,0,34,16,4.771,8010.0,40097F7ED852D6886F6EBCFEEFE42AC2F1AF0958
Laur - L'Ultima Cena by Awagi,Awagi,Normal,Ranked,"1,139","11,649",1.24,339,175,57.64,!bsr 8aa2,0,113,12,2.354,8010.0,40097F7ED852D6886F6EBCFEEFE42AC2F1AF0958
Laur - L'Ultima Cena by Awagi,Awagi,Easy,Ranked,810,"11,649",0.93,231,175,43.63,!bsr 8aa2,0,49,11,1.604,8010.0,40097F7ED852D6886F6EBCFEEFE42AC2F1AF0958
C-Show vs. DJ Genki - BLACK LABEL by Yun0,Yun0,Normal,Ranked,"1,425","12,909",1.67,438,174,77.58,,,,,,,2D219A8890585F457ABB018DA09451B08CD98495
C-Show vs. DJ Genki - BLACK LABEL by Yun0,Yun0,Hard,Ranked,"2,611","12,909",2.34,702,174,108.67,,,,,,,2D219A8890585F457ABB018DA09451B08CD98495
C-Show vs. DJ Genki - BLACK LABEL by Yun0,Yun0,Expert,Ranked,"3,315","12,909",3.94,932,174,180.91,,,,,,,2D219A8890585F457ABB018DA09451B08CD98495
C-Show vs. DJ Genki - BLACK LABEL by Yun0,Yun0,Expert+,Ranked,"5,558","12,909",7.12,"1,482",174,321.23,,,,,,,2D219A8890585F457ABB018DA09451B08CD98495
Kobaryo - Yura-Yura Sweet Genocide by Vilawes,Vilawes,Expert+,Ranked,"2,103","2,103",9.51,"2,077",260,429.03,!bsr 7d14,54,23,24,9.956,2670.0,00CFA473477180E792145ECDE5C2DB814536E8A2
Toby Fox - Quiet Water by Whiisper,Whiisper,Easy,Ranked,"4,237","4,237",0.07,20,60,3.53,,,,,,,4963752D07B806F9B0028D0015DC7E65BB74A1C8
"Minazuki Airi with Atsushi - Daisuki, Evolution by Foxy Boi & Skeelie",Foxy Boi & Skeelie,Hard,Ranked,"3,704","8,079",3.22,500,250,149.36,!bsr 2200,,,,,,092453D3707C8EBDEC45BE1023AA8AF4F4868234
"Minazuki Airi with Atsushi - Daisuki, Evolution by Foxy Boi & Skeelie",Foxy Boi & Skeelie,Expert+,Ranked,"2,618","8,079",6.77,827,250,308.58,!bsr 2200,16,8,18,9.988,2750.0,092453D3707C8EBDEC45BE1023AA8AF4F4868234
"Minazuki Airi with Atsushi - Daisuki, Evolution by Foxy Boi & Skeelie",Foxy Boi & Skeelie,Expert,Ranked,"1,757","8,079",4.95,725,250,226.46,!bsr 2200,,,,,,092453D3707C8EBDEC45BE1023AA8AF4F4868234
you - Melancholia by Astrella,Astrella,Expert+,Ranked,"2,263","11,315",12.6,"1,292",340,564.34,,,,,,,914EDCFA17A8D7B1573F7FE8EB1B504CC7E47806
you - Melancholia by Astrella,Astrella,Expert,Ranked,"9,052","11,315",6.9,"1,064",340,315.58,,,,,,,914EDCFA17A8D7B1573F7FE8EB1B504CC7E47806
Men I Trust - Show Me How by zilianthegreat,zilianthegreat,Hard,Ranked,"2,737","2,737",2.13,789,83,99.65,,,,,,,9866736F2B0E55CEEEDE9F61839252D05103388B
Kaneko Chiharu - WHITEOUT by muffn & DE125 & Mystikmol,muffn & DE125 & Mystikmol,Normal,Ranked,"5,556","8,772",3.75,676,198,173.44,!bsr 8f88,0,14,18,5.577,2320.0,4FDA03A18F72C76A94F14FB08CA2088E4990BCD3
Kaneko Chiharu - WHITEOUT by muffn & DE125 & Mystikmol,muffn & DE125 & Mystikmol,Expert,Ranked,834,"8,772",9.16,"1,210",198,411.51,!bsr 8f88,0,13,23,9.983,2320.0,4FDA03A18F72C76A94F14FB08CA2088E4990BCD3
Kaneko Chiharu - WHITEOUT by muffn & DE125 & Mystikmol,muffn & DE125 & Mystikmol,Hard,Ranked,"2,140","8,772",6.43,"1,101",198,291.22,!bsr 8f88,0,13,20,9.083,2320.0,4FDA03A18F72C76A94F14FB08CA2088E4990BCD3
Infected Mushroom - Saeed by Interz,Interz,Expert+,Ranked,"3,875","3,875",7.14,"3,146",145,325.24,!bsr 91f9,40,224,18,8.071,3260.0,1F06AE3ACBA16C27171EBA05016ABEB3B9621533
August Burns Red - Carol of the Bells by Skeelie,Skeelie,Expert,Ranked,"3,439","8,118",4.86,802,180,223.44,!bsr 8fe5,0,53,17,6.041,8010.0,C802AEC7EA699A24800712DCE2486791AC0880E3
August Burns Red - Carol of the Bells by Skeelie,Skeelie,Expert+,Ranked,"2,456","8,118",8.09,"1,222",180,367.20,!bsr 8fe5,0,53,21,9.204,8010.0,C802AEC7EA699A24800712DCE2486791AC0880E3
August Burns Red - Carol of the Bells by Skeelie,Skeelie,Hard,Ranked,"2,223","8,118",2.64,514,180,121.80,!bsr 8fe5,0,61,14,4.12,8010.0,C802AEC7EA699A24800712DCE2486791AC0880E3
DJ Genki - USAO by Jez,Jez,Expert+,Ranked,"3,100","3,100",8.21,"2,307",200,369.32,!bsr 9332,0,7,21,10.914,2480.0,B81DFF86A58DA265847BD3F0E4802709A319326D
REZZ - Lonely by xScaramouche,xScaramouche,Expert+,Ranked,"4,563","8,075",3.33,657,155,153.25,,,,,,,A09133282A30E0F74D9527DE92DA4D5F7778F68D
REZZ - Lonely by xScaramouche,xScaramouche,Expert,Ranked,"1,982","8,075",1.84,521,155,85.65,,,,,,,A09133282A30E0F74D9527DE92DA4D5F7778F68D
REZZ - Lonely by xScaramouche,xScaramouche,Hard,Ranked,"1,044","8,075",1.28,416,155,59.74,,,,,,,A09133282A30E0F74D9527DE92DA4D5F7778F68D
Camellia feat. Nanahira - Bassdrop Freaks by muffn & Saut,muffn & Saut,Expert+,Ranked,"3,736","9,257",9.04,"2,246",179,408.16,!bsr 9484,42,153,19,8.45,10000.0,87295CA56A0652C2DE062BB5BAE64C7804DD6C5C
Camellia feat. Nanahira - Bassdrop Freaks by muffn & Saut,muffn & Saut,Expert,Ranked,"5,521","9,257",6.97,"2,216",179,316.54,!bsr 9484,35,143,19,8.337,10000.0,87295CA56A0652C2DE062BB5BAE64C7804DD6C5C
t+pazolite & Getty - Twisted Drop Party by Depito & ExUnReal,Depito & ExUnReal,Expert+,Ranked,"1,875","10,085",8.1,"2,024",200,365.83,!bsr 1a7a3,55,211,22,9.924,12000.0,9E6DEB75CA74B96497BC5EF0BB5B98EE5C0B7E69
t+pazolite & Getty - Twisted Drop Party by Depito & ExUnReal,Depito & ExUnReal,Expert,Ranked,"2,874","10,085",5.6,"1,386",200,256.59,!bsr 1a7a3,49,146,18,5.994,11900.0,9E6DEB75CA74B96497BC5EF0BB5B98EE5C0B7E69
t+pazolite & Getty - Twisted Drop Party by Depito & ExUnReal,Depito & ExUnReal,Hard,Ranked,"3,819","10,085",3.84,"1,090",200,177.60,!bsr 1a7a3,,,,,,9E6DEB75CA74B96497BC5EF0BB5B98EE5C0B7E69
t+pazolite & Getty - Twisted Drop Party by Depito & ExUnReal,Depito & ExUnReal,Normal,Ranked,"1,517","10,085",1.59,585,200,74.15,!bsr 1a7a3,,,,,,9E6DEB75CA74B96497BC5EF0BB5B98EE5C0B7E69
WRLD - Ocean Blue by zilianthegreat,zilianthegreat,Expert+,Ranked,"3,446","3,446",7.38,"1,682",175,336.17,,,,,,,E52448E9AF78590A521C0023333573468D9BB8C1
lapix - Kill The Beat by simplymarvellous,simplymarvellous,Expert+,Ranked,"8,024","16,274",6.9,691,120,312.47,,,,,,,5183C321719C2B93FCA26AA2EF0463F2E22FE9F5
lapix - Kill The Beat by simplymarvellous,simplymarvellous,Expert,Ranked,"5,022","16,274",4.17,560,120,192.15,,,,,,,5183C321719C2B93FCA26AA2EF0463F2E22FE9F5
lapix - Kill The Beat by simplymarvellous,simplymarvellous,Hard,Ranked,"3,228","16,274",3.29,417,120,152.60,,,,,,,5183C321719C2B93FCA26AA2EF0463F2E22FE9F5
DJ'TEKINA//SOMETHING - Internet bitch by Light Ai & ExUnReal,Light Ai & ExUnReal,Expert+,Ranked,"5,042","5,535",8.2,"2,372",175,374.32,!bsr 87aa,0,0,20,9.02,6360.0,7D976FF24DC266FE0D559F98BFD8D723EB827E6F
Rob Gasser - Ricochet by ExUnReal,ExUnReal,Expert+,Ranked,"6,081","6,081",7.13,"1,659",105,326.40,!bsr 875a,0,0,18,7.561,4350.0,DD9127AB917DF6604D19453CF921794DBF402597
t+pazolite - Garakuta Doll Play by DE125,DE125,Expert+,Ranked,"1,382","1,382",10.63,"2,733",256,475.62,!bsr 9924,63,61,23,9.689,3230.0,790735D0DA9B1FD59A0C6FEE32A394539556E5F3
"Ingo ohne Flamingo - Saufen morgens, mittags, abends by Various Mappers",Various Mappers,Easy,Ranked,636,"9,695",0.9,274,125,42.11,!bsr 8339,0,0,0,12,0,36D0DB44E6528BD956D4A473D886433510D1BE26
"Ingo ohne Flamingo - Saufen morgens, mittags, abends by Various Mappers",Various Mappers,Expert,Ranked,"2,579","9,695",2.86,938,125,132.39,!bsr 8339,0,0,0,16,3.44,36D0DB44E6528BD956D4A473D886433510D1BE26
"Ingo ohne Flamingo - Saufen morgens, mittags, abends by Various Mappers",Various Mappers,Expert+,Ranked,"4,281","9,695",5.18,"1,348",125,236.98,!bsr 8339,0,0,4,19,4.444,36D0DB44E6528BD956D4A473D886433510D1BE26
"Ingo ohne Flamingo - Saufen morgens, mittags, abends by Various Mappers",Various Mappers,Normal,Ranked,789,"9,695",1.26,442,125,58.73,!bsr 8339,400,0,13,1.86,15300.0,36D0DB44E6528BD956D4A473D886433510D1BE26
"Ingo ohne Flamingo - Saufen morgens, mittags, abends by Various Mappers",Various Mappers,Hard,Ranked,"1,410","9,695",1.6,606,125,74.55,!bsr 8339,0,8,14,2.545,15300.0,36D0DB44E6528BD956D4A473D886433510D1BE26
Stonebank - Who's Got Your Love by Teuflum,Teuflum,Expert+,Ranked,"3,571","8,397",7.26,"1,352",170,329.29,!bsr 81ab,0,98,22,6.853,4530.0,C942D55EEA0CD73AA8F3508EF6EE4304B799C8EC
Stonebank - Who's Got Your Love by Teuflum,Teuflum,Expert,Ranked,"4,826","8,397",3.12,883,170,142.34,!bsr 81ab,4,98,19,4.476,4530.0,C942D55EEA0CD73AA8F3508EF6EE4304B799C8EC
Toby Fox - Dogbass by Halcyon12,Halcyon12,Easy,Ranked,"1,433","11,961",0.02,11,110,0.96,!bsr 8593,0,0,10,1.833,232,38B615ABA9F6BC3F9DEF38097C5620B9391160A1
Toby Fox - Dogbass by Halcyon12,Halcyon12,Normal,Ranked,"1,267","11,961",0.02,12,110,1.16,!bsr 8593,0,1,12,2.521,232,38B615ABA9F6BC3F9DEF38097C5620B9391160A1
Toby Fox - Dogbass by Halcyon12,Halcyon12,Hard,Ranked,"1,724","11,961",0.03,14,110,1.38,!bsr 8593,0,1,14,3.208,232,38B615ABA9F6BC3F9DEF38097C5620B9391160A1
Toby Fox - Dogbass by Halcyon12,Halcyon12,Expert,Ranked,"2,346","11,961",0.03,17,110,1.58,!bsr 8593,0,1,16,3.896,232,38B615ABA9F6BC3F9DEF38097C5620B9391160A1
Toby Fox - Dogbass by Halcyon12,Halcyon12,Expert+,Ranked,"5,191","11,961",0.04,25,110,1.78,!bsr 8593,0,1,18,5.729,232,38B615ABA9F6BC3F9DEF38097C5620B9391160A1
Rory Doggett - 4. Home Depot TV Theme Song by Burchase,Burchase,Expert+,Ranked,"9,200","20,036",1.75,187,120,80.55,,,,,,,3F1DACFB11BAE00B17C9F576F07EB77E3148A029
Rory Doggett - 4. Home Depot TV Theme Song by Burchase,Burchase,Expert,Ranked,"6,334","20,036",1.6,183,120,73.54,,,,,,,3F1DACFB11BAE00B17C9F576F07EB77E3148A029
Rory Doggett - 4. Home Depot TV Theme Song by Burchase,Burchase,Hard,Ranked,"4,502","20,036",1.31,121,120,60.90,,,,,,,3F1DACFB11BAE00B17C9F576F07EB77E3148A029
"Stack Bros. - Adieu, to this Lively Graveyard by Various Mappers",Various Mappers,Hard,Ranked,"3,560","3,560",2.06,596,115,95.82,!bsr 97d0,0,0,12,3.292,3140.0,6BAB712A09D31AB568F27C5E8C0FCB1651DA40F5
Nanawo Akari - Discommunication alien by MaNaB,MaNaB,Expert+,Ranked,"2,009","2,009",6.42,"1,697",170,291.45,!bsr 84d9,8,6,20,8.233,3240.0,542C43DEB217E816DFC0E628E69F9FD04F7CB904
Darude - Sandstorm by Skyler Wallace,Skyler Wallace,Expert+,Ranked,"16,270","68,980",5.95,"1,358",136,271.06,,,,,,,580EB7D1614A35D192722F748400C9896AC9527D
Darude - Sandstorm by Skyler Wallace,Skyler Wallace,Expert,Ranked,"17,154","68,980",4.2,"1,120",136,193.13,,,,,,,580EB7D1614A35D192722F748400C9896AC9527D
Darude - Sandstorm by Skyler Wallace,Skyler Wallace,Hard,Ranked,"16,791","68,980",2.01,756,136,93.27,,,,,,,580EB7D1614A35D192722F748400C9896AC9527D
Darude - Sandstorm by Skyler Wallace,Skyler Wallace,Easy,Ranked,"6,437","68,980",0.89,307,136,41.53,,,,,,,580EB7D1614A35D192722F748400C9896AC9527D
Darude - Sandstorm by Skyler Wallace,Skyler Wallace,Normal,Ranked,"12,328","68,980",1.42,505,136,66.19,,,,,,,580EB7D1614A35D192722F748400C9896AC9527D
Rotteen - VECTLEGGENDARIA by Vilawes,Vilawes,Expert+,Ranked,"1,521","12,121",11.06,"1,660",269,494.74,!bsr 995e,0,0,24,14.251,1860.0,1C09E823E2B9720E573EA46C53C62EDAAAD51665
Rotteen - VECTLEGGENDARIA by Vilawes,Vilawes,Expert,Ranked,"5,555","12,121",7.42,"1,119",269,338.17,!bsr 995e,0,0,20,9.607,1780.0,1C09E823E2B9720E573EA46C53C62EDAAAD51665
Rotteen - VECTLEGGENDARIA by Vilawes,Vilawes,Hard,Ranked,"5,045","12,121",3.55,563,269,163.55,!bsr 995e,0,2,16,4.833,1780.0,1C09E823E2B9720E573EA46C53C62EDAAAD51665
Camellia - The King Of Lions by Scrappy,Scrappy,Expert+,Ranked,"1,691","1,691",10.22,"2,479",210,463.15,!bsr 8705,9,10,22,9.996,16200.0,C66C795AAE6E59C8A05B898015B5FA75A1BB6344
Kobaryo - Chocolate Lily by xScaramouche,xScaramouche,Expert+,Ranked,700,"9,253",10.71,"1,949",282,477.07,,,,,,,018ACAAD1EC1E13BD9E428A19E41C844AA05B9DA
Kobaryo - Chocolate Lily by xScaramouche,xScaramouche,Expert,Ranked,"4,018","9,253",7.37,"1,170",282,335.96,,,,,,,018ACAAD1EC1E13BD9E428A19E41C844AA05B9DA
Kobaryo - Chocolate Lily by xScaramouche,xScaramouche,Hard,Ranked,"4,535","9,253",3.84,723,282,177.52,,,,,,,018ACAAD1EC1E13BD9E428A19E41C844AA05B9DA
Grant - Weapon by ExUnReal,ExUnReal,Expert,Ranked,"3,863","8,093",4.18,991,140,191.11,,,,,,,B599483C0C01992DAD3C93BE6CF40644E54227C6
Grant - Weapon by ExUnReal,ExUnReal,Expert+,Ranked,"4,230","8,093",7.25,"1,696",140,328.76,,,,,,,B599483C0C01992DAD3C93BE6CF40644E54227C6
t​+​pazolite & Getty - Twisted Drop Party by abcbadq,abcbadq,Hard,Ranked,"4,216","8,747",4.86,"1,205",200,223.06,!bsr 1a7a3,,,,,,F4EA5B4B5B6004EBAD86FABFB96409315DC621C3
t​+​pazolite & Getty - Twisted Drop Party by abcbadq,abcbadq,Expert,Ranked,"2,446","8,747",7.5,"1,742",200,338.02,!bsr 1a7a3,49,146,18,5.994,11900.0,F4EA5B4B5B6004EBAD86FABFB96409315DC621C3
t​+​pazolite & Getty - Twisted Drop Party by abcbadq,abcbadq,Expert+,Ranked,"2,085","8,747",8.81,"1,771",200,395.45,!bsr 1a7a3,55,211,22,9.924,12000.0,F4EA5B4B5B6004EBAD86FABFB96409315DC621C3
MY FIRST STORY - REVIVER by CoolingCloset & LompL Allimath,CoolingCloset & LompL Allimath,Expert+,Ranked,"2,446","2,446",8.32,"2,064",200,376.79,!bsr 9ab2,14,18,21,7.343,13600.0,D2672C7A840ABA695C6D4D5A177BC00CFEF64300
Kobaryo - Affiliate Requiem by Vilawes & Skeelie,Vilawes & Skeelie,Expert+,Ranked,837,"6,294",11.66,"2,704",300,519.42,!bsr 9ab1,0,9,24,13.629,23400.0,B9BED84A127130BF80AFF18DB677EDD215CE0AB5
Kobaryo - Affiliate Requiem by Vilawes & Skeelie,Vilawes & Skeelie,Expert,Ranked,"1,063","6,294",8.09,"1,467",300,367.29,!bsr 9ab1,0,77,21,7.394,23400.0,B9BED84A127130BF80AFF18DB677EDD215CE0AB5
Kobaryo - Affiliate Requiem by Vilawes & Skeelie,Vilawes & Skeelie,Hard,Ranked,"4,394","6,294",4.66,"1,071",300,213.30,!bsr 9ab1,110,22,18,5.398,23400.0,B9BED84A127130BF80AFF18DB677EDD215CE0AB5
FELT - New World by Kival Evan,Kival Evan,Expert+,Ranked,"3,329","12,959",7.14,"1,685",195,324.49,,,,,,,B92ABFB912ED12CED131C9B798AE7D69800DF51B
FELT - New World by Kival Evan,Kival Evan,Expert,Ranked,"4,015","12,959",5,"1,315",195,229.34,,,,,,,B92ABFB912ED12CED131C9B798AE7D69800DF51B
FELT - New World by Kival Evan,Kival Evan,Hard,Ranked,"3,594","12,959",3.08,951,195,142.70,,,,,,,B92ABFB912ED12CED131C9B798AE7D69800DF51B
FELT - New World by Kival Evan,Kival Evan,Normal,Ranked,"1,209","12,959",1.99,734,195,92.28,,,,,,,B92ABFB912ED12CED131C9B798AE7D69800DF51B
FELT - New World by Kival Evan,Kival Evan,Easy,Ranked,812,"12,959",1.16,422,195,54.14,,,,,,,B92ABFB912ED12CED131C9B798AE7D69800DF51B
Omoi - Rasen Hikou by LemoNade,LemoNade,Expert+,Ranked,"3,111","3,111",7.85,"1,576",200,357.80,,,,,,,A6BCB9BEDCAD2A6F636D8051C089B4B63CC0043A
Camellia - Darkness Overload by zilianthegreat & ExUnReal,zilianthegreat & ExUnReal,Expert+,Ranked,"1,709","1,709",8.2,"2,500",216,369.79,!bsr 998f,19,223,23,10.05,5690.0,BA6DF1305EBEB38C4B406E9410A33B225A8A153C
B-ko - Nisemono Chuuihou by Rune & TheRealZeroz,Rune & TheRealZeroz,Expert+,Ranked,"1,136","1,136",10.23,"1,972",260,457.55,!bsr 9b0e,8,9,24,9.759,16400.0,F102C77F848203C7A5F472B96B177A13CD09B886
Igorrr & Ruby My Dear - Figue Folle by Vilawes,Vilawes,Expert+,Ranked,"3,738","3,738",8.57,"1,873",188,387.72,!bsr 16d03,919,608,0,22.5,8.623,CFCC48A3FA60B81B2C7678D443DF9E2E4F8AD5A1
t+pazolite - QZKago Requiem by Schwank,Schwank,Expert,Ranked,"1,178","9,058",10.71,"1,660",257,478.38,!bsr 17a05,,,,,,A3BFE1A6CC95ADBA6F5541338264F40235F1D5F4
t+pazolite - QZKago Requiem by Schwank,Schwank,Hard,Ranked,"3,185","9,058",8.3,"1,153",257,375.73,!bsr 17a05,,,,,,A3BFE1A6CC95ADBA6F5541338264F40235F1D5F4
t+pazolite - QZKago Requiem by Schwank,Schwank,Normal,Ranked,"4,414","9,058",4.67,840,257,213.42,!bsr 17a05,,,,,,A3BFE1A6CC95ADBA6F5541338264F40235F1D5F4
Kobaryo - Glitched Character by Scrappy,Scrappy,Expert+,Ranked,"2,052","2,052",9.27,"2,619",230,420.05,!bsr 9afd,79,18,22,9.319,17500.0,AE3253705F17262E0A4E2574A34AB64B6BD9450D
ROCKY CHACK - Ringo Hiyori ~ The Wolf Whistling Song by Skeelie,Skeelie,Expert+,Ranked,"4,176","4,176",5,958,90,231.11,!bsr 8de1,0,183,15,3.487,5490.0,4A5A4707CF1AFEE2172986BA94D0196B1711B71C
"Camellia - Quaoar (For ""Thanks Follower 50k"") by Checkthepan",Checkthepan,Expert+,Ranked,"2,461","2,461",7.85,"1,816",174,355.44,!bsr 9ae3,75,57,22,6.76,10200.0,E5BE675E27AB90D726F5F72C48E8490DFCD51FC9
Negentropy(Team Grimoire) - ouroVoros by Vilawes,Vilawes,Expert+,Ranked,"3,070","8,287",8.21,"1,292",185,370.56,!bsr 9b01,0,17,24,9.19,1460.0,55A2C1D457568C55AA06B3B3FC5BE614A1FB3990
Negentropy(Team Grimoire) - ouroVoros by Vilawes,Vilawes,Expert,Ranked,"2,668","8,287",4.35,973,185,198.81,!bsr 9b01,0,17,20,7.212,1370.0,55A2C1D457568C55AA06B3B3FC5BE614A1FB3990
Negentropy(Team Grimoire) - ouroVoros by Vilawes,Vilawes,Hard,Ranked,"2,549","8,287",2.45,520,185,113.16,!bsr 9b01,0,86,16,3.854,1370.0,55A2C1D457568C55AA06B3B3FC5BE614A1FB3990
a crowd of rebellion - Ill by carrot,carrot,Expert+,Ranked,"2,119","2,119",8.33,"1,661",212,379.19,!bsr 9b36,17,36,23,7.246,2060.0,26581526580FB65E6D3905EB5E132AD8DDA58683
