Title,Mapped by,Level,Status,Scores,Total Scores,Star Difficulty,Note Count,BPM,PP,Key,Bombs,Walls,Note jump speed,Notes per second,Lights,ID
prototyperaptor - Awe by Rustic,Rustic,Normal,Ranked,"3,784","36,504",0.81,267,128,38.04,!bsr 282,,,,,,F16443DE4216FC5F9435F103D77A6919423EDB8A
Cash Cash - Overtime by OrangeW,OrangeW,Expert,Ranked,"15,862","15,862",1.69,289,114,77.66,,,,,,,5575BBA243BFFD83201C3493951D2D50D1ADB300
Cash Cash - Overtime by OrangeW,OrangeW,Expert,Ranked,"15,862","15,862",1.69,289,114,77.66,,,,,,,5575BBA243BFFD83201C3493951D2D50D1ADB300
Sofi Tukker - Batshit by Freeek,Freeek,Normal,Ranked,"1,714","6,875",0.68,247,115,31.80,!bsr 7e,0,0,10,1.691,1190.0,2CD02101BE925DECF2C98DC3884FFCC7770ABE31
Sofi Tukker - Batshit by Freeek,Freeek,Normal,Ranked,"1,714","6,875",0.68,247,115,31.80,!bsr 7e,0,0,10,1.691,1190.0,2CD02101BE925DECF2C98DC3884FFCC7770ABE31
Sickick - G.O.M.D by Freeek,Freeek,Easy,Ranked,980,"4,507",0.4,59,68,18.70,,,,,,,A098FD424C66FEDF0ADE7E7B1926F1C834F36A52
Sickick - G.O.M.D by Freeek,Freeek,Easy,Ranked,980,"4,507",0.4,59,68,18.70,,,,,,,A098FD424C66FEDF0ADE7E7B1926F1C834F36A52
 - Do It Again by Holy Ghost,Holy Ghost,Hard,Ranked,790,790,1.2,304,97,55.75,!bsr ae,0,8,10,1.702,86,F8FAAC8D332EB77B698A9BF284140C36216A14B7
 - Do It Again by Holy Ghost,Holy Ghost,Hard,Ranked,790,790,1.2,304,97,55.75,!bsr ae,0,8,10,1.702,86,F8FAAC8D332EB77B698A9BF284140C36216A14B7
 - God Damn by Avenged Sevenfold,Avenged Sevenfold,Hard,Ranked,"6,362","15,358",1.44,558,120,66.72,!bsr e2,0,2,10,2.521,300,388517D0E690E081FBFAE54AC8407EF908354827
 - God Damn by Avenged Sevenfold,Avenged Sevenfold,Hard,Ranked,"6,362","15,359",1.44,558,120,66.72,!bsr e2,0,2,10,2.521,300,388517D0E690E081FBFAE54AC8407EF908354827
Cascada - Every Time We Touch by purphoros,purphoros,Expert,Ranked,"148,475","148,475",2.13,564,142,98.26,!bsr e4,0,0,10,3.178,10,BC6C7EF1385DB4C11C59736D2B32EACF48C95BD9
Cascada - Every Time We Touch by purphoros,purphoros,Expert,Ranked,"148,476","148,476",2.13,564,142,98.26,!bsr e4,0,0,10,3.178,10,BC6C7EF1385DB4C11C59736D2B32EACF48C95BD9
F-Zero - Mute City by Yumiko Kanki & Takuto Kitsuta,Yumiko Kanki & Takuto Kitsuta,Hard,Ranked,"6,905","21,318",1.35,199,95,62.19,,,,,,,56AFB126C31A5191F2D6EB195811E80CE1899724
F-Zero - Mute City by Yumiko Kanki & Takuto Kitsuta,Yumiko Kanki & Takuto Kitsuta,Normal,Ranked,"2,849","21,318",0.94,111,95,43.74,,,,,,,56AFB126C31A5191F2D6EB195811E80CE1899724
F-Zero - Mute City by Yumiko Kanki & Takuto Kitsuta,Yumiko Kanki & Takuto Kitsuta,Hard,Ranked,"6,905","21,318",1.35,199,95,62.19,,,,,,,56AFB126C31A5191F2D6EB195811E80CE1899724
F-Zero - Mute City by Yumiko Kanki & Takuto Kitsuta,Yumiko Kanki & Takuto Kitsuta,Normal,Ranked,"2,849","21,318",0.94,111,95,43.74,,,,,,,56AFB126C31A5191F2D6EB195811E80CE1899724
MGMT - Kids by BennyDaBeast,BennyDaBeast,Expert,Ranked,"42,434","71,120",2.28,866,123,105.09,,,,,,,35D58F383A4B13C385C37B4ED6FF6460B765C29A
MGMT - Kids by BennyDaBeast,BennyDaBeast,Hard,Ranked,"28,686","71,120",1.71,729,123,78.93,,,,,,,35D58F383A4B13C385C37B4ED6FF6460B765C29A
MGMT - Kids by BennyDaBeast,BennyDaBeast,Expert,Ranked,"42,434","71,120",2.28,866,123,105.09,,,,,,,35D58F383A4B13C385C37B4ED6FF6460B765C29A
MGMT - Kids by BennyDaBeast,BennyDaBeast,Hard,Ranked,"28,686","71,120",1.71,729,123,78.93,,,,,,,35D58F383A4B13C385C37B4ED6FF6460B765C29A
 - Gerudo Valley METAL by Machinae Supremacy,Machinae Supremacy,Hard,Ranked,"11,181","40,639",1.5,337,120,69.51,!bsr 10f,40,55,10,2.374,579,2DE36009613E11C00380D71C70A42189A2E5BBDB
 - Gerudo Valley METAL by Machinae Supremacy,Machinae Supremacy,Normal,Ranked,"5,802","40,639",1.18,247,120,54.93,!bsr 10f,43,67,10,1.74,578,2DE36009613E11C00380D71C70A42189A2E5BBDB
 - Gerudo Valley METAL by Machinae Supremacy,Machinae Supremacy,Hard,Ranked,"11,181","40,639",1.5,337,120,69.51,!bsr 10f,40,55,10,2.374,579,2DE36009613E11C00380D71C70A42189A2E5BBDB
 - Gerudo Valley METAL by Machinae Supremacy,Machinae Supremacy,Normal,Ranked,"5,802","40,639",1.18,247,120,54.93,!bsr 10f,43,67,10,1.74,578,2DE36009613E11C00380D71C70A42189A2E5BBDB
"(Charted by M.Rappold) - 9,000 Miles by Pendulum",Pendulum,Expert,Ranked,"3,406","13,563",2.23,563,174,102.73,!bsr 1d2,0,1,10,3.349,10,4C750C4BA3EB6E0B61F1549169D814D54BE2CA01
"(Charted by M.Rappold) - 9,000 Miles by Pendulum",Pendulum,Hard,Ranked,"3,844","13,563",1.18,342,174,54.72,!bsr 1d2,0,1,10,2.034,10,4C750C4BA3EB6E0B61F1549169D814D54BE2CA01
"(Charted by M.Rappold) - 9,000 Miles by Pendulum",Pendulum,Normal,Ranked,"2,074","13,563",1.1,305,174,51.37,!bsr 1d2,0,1,10,1.814,10,4C750C4BA3EB6E0B61F1549169D814D54BE2CA01
"(Charted by M.Rappold) - 9,000 Miles by Pendulum",Pendulum,Easy,Ranked,"1,233","13,563",0.88,218,174,41.09,!bsr 1d2,0,1,10,1.297,10,4C750C4BA3EB6E0B61F1549169D814D54BE2CA01
 - You Are the End by Waveshaper,Waveshaper,Hard,Ranked,"1,980","1,980",1.52,369,125,70.51,!bsr 12e,0,14,10,2.785,647,91E78271A7E4FB42092DC5671E82012293997723
 - You Are the End by Waveshaper,Waveshaper,Hard,Ranked,"1,980","1,980",1.52,369,125,70.51,!bsr 12e,0,14,10,2.785,647,91E78271A7E4FB42092DC5671E82012293997723
Slips & Slurs - EC1-Haunted by Rustic,Rustic,Hard,Ranked,"3,366","13,921",1.23,456,160,56.92,!bsr 744,0,4,10,2.171,1570.0,D56898547D40BAFDF348492376F68C084674F118
Chart by Mystikmol - Made In Love by Chroma,Chroma,Expert+,Ranked,"4,505","7,441",4.41,644,88,195.42,!bsr 19de,10,16,15,4.756,590,6F41DB10DB5070511552D5932419C738B17D3E41
